Listener,Artist,Song,Album,Genre,Duration,Danceable,Energetic,Acoustic,Instrumental,Speechful,Liveness,Valence
Farhan,Novo Amor,Halloween,"Cannot Be, Whatsoever",Indie Folk,3:15,57,13,89,6,3,16,7
Farhan,Novo Amor,Carry You,Bathing Beach,Indie Folk,2:35,65,47,87,0,3,11,35
Farhan,Novo Amor,Colourway,Bathing Beach,Indie Folk,4:33,33,40,56,8,3,13,4
Farhan,Novo Amor,Anchor,Bathing Beach,Indie Folk,3:48,26,37,96,86,3,11,15
Farhan,Novo Amor,Embody Me,Bathing Beach,Indie Folk,4:18,46,41,81,88,3,13,46
Farhan,TheFatRat,Hiding In The Blue,Parallax,Glitch Hop,3:10,48,26,94,0,3,9,15
Farhan,TheFatRat,Arcadia,Parallax,Glitch Hop,3:42,62,65,0,0,3,12,46
Farhan,TheFatRat,Pride & Fear,Parallax,Glitch Hop,3:07,72,63,5,28,4,19,32
Farhan,TheFatRat,Upwind,Parallax,Glitch Hop,2:47,27,26,87,0,3,27,32
Farhan,TheFatRat,Our Song,Parallax,Glitch Hop,3:12,67,84,6,93,3,45,26
Farhan,TheFatRat,Violet Sky,Parallax,Glitch Hop,3:11,81,41,38,0,4,9,28
Farhan,TheFatRat,Warbringer,Parallax,Glitch Hop,3:10,82,69,11,3,5,12,81
Farhan,TheFatRat,Fire ,Parallax,Glitch Hop,3:39,62,65,10,4,3,29,16
Farhan,TheFatRat,Let Love Win,Parallax,Glitch Hop,3:30,54,81,0,88,3,24,19
Farhan,TheFatRat,Love It When You Hurt Me,Parallax,Glitch Hop,3:19,49,46,21,0,4,12,26
Farhan,Joji,Daylight,Nectar,Alternative R&B,3:10,83,59,14,1,4,8,55
Farhan,Joji,Sanctuary,Nectar,Alternative R&B,2:44,53,75,0,0,5,9,73
Farhan,Joji,Run,Nectar,Alternative R&B,3:00,55,64,39,0,11,37,33
Farhan,Joji,Gimme Love,Nectar,Alternative R&B,3:15,45,72,4,0,3,61,36
Farhan,Joji,Ew,Nectar,Alternative R&B,3:35,48,63,70,2,10,21,7
Farhan,Joji,Your Man,Nectar,Alternative R&B,3:28,48,37,80,7,3,12,4
Farhan,Joji,Glimpse of Us,SMITHEREENS,Alternative R&B,2:44,79,82,62,15,10,15,5
Farhan,Joji,Die For |You,SMITHEREENS,Alternative R&B,3:53,44,32,89,0,5,14,27
Farhan,Joji,Dissolve,SMITHEREENS,Alternative R&B,3:32,47,52,38,13,5,29,15
Farhan,Joji,Feeling Like The End,SMITHEREENS,Alternative R&B,2:57,36,40,43,0,3,13,38
Farhan,Chevy,If I Could Ride a Bike,If I Could Ride a Bike - Single,Indie Pop,1:42,79,67,30,0,6,9,63
Farhan,Chevy,Morning Coffee,Morning Coffee - Single,Indie Pop,2:23,57,19,68,0,44,39,76
Farhan,Chevy,I Know a Place,I Know a Place - Single,Indie Pop,2:09,78,13,93,0,7,9,22
Farhan,Chevy,Sweet Boi,Sweet Boi - Single,Indie Pop,2:23,80,18,98,0,9,10,20
Farhan,Chevy,UWU,UWU - Single,Indie Pop,1:50,86,4,99,0,9,14,18
Farhan,Chevy,Floating,Floating - Single,Indie Pop,4:00,37,7,99,0,4,14,42
Farhan,Chevy,Gingerbread Lover,Gingerbread Lover - Single,Indie Pop,2:29,79,40,86,0,3,20,55
